,UKATEGORIE
lit,0.03111529262709256
maxspeed,-0.024320704126237495
surface_asphalt,0.006652831772117668
surface_paving_stones,0.015797261588631047
surface_paved,-0.010893835180216173
surface_sett,0.010370262525092775
surface_compacted,-0.0182256294972058
surface_ground,-0.03091483430904592
surface_unpaved,-0.030914834309045958
surface_gravel,-0.03091483430904598
surface_grass_paver,0.012159733644065716
surface_concrete,0.012159733644065689
temp,0.0038445029333549485
dwpt,-0.0029614216495956747
rhum,-0.010473424330849163
prcp,-0.020455929530905366
snow,0.015242281292416796
wdir,0.014925710399824807
wspd,0.07751841456100245
wpgt,0.06911407386160112
pres,-0.01598598693037078
tsun,0.030678216314362714
coco,0.011371788439218997
UKATEGORIE,1.0
IstRad,-0.05977457940438755
IstPKW,0.15561366482837768
IstFuss,-0.07934337436137653
IstKrad,-0.07670694536117402
IstSonstige,0.008631247230346925
UTYP1_6,0.11328837608109325
UTYP1_3,0.037691283696243146
UTYP1_7,-0.013372778495590973
UTYP1_1,-0.139545146541788
UTYP1_2,0.001176172270563116
UTYP1_4,-0.09726408220462641
UTYP1_5,0.06153013760232166
ULICHTVERH_0,0.04851895044488814
ULICHTVERH_2,-0.058773278736411645
ULICHTVERH_1,0.008848441478351421
UART_2,0.12729699284322335
UART_5,0.029719855679112367
UART_6,-0.09975795770291251
UART_0,-0.03996461473602847
UART_1,0.1045713233758848
UART_3,-0.022871102866556015
UART_4,-0.022170328145449156
UART_8,-0.08415985504175061
UART_9,-0.11792763505009186
UART_7,-0.03176549138443727
