,name,lit,surface,maxspeed,incident_ID
0,Wetterbach,no,paved,120,22621
0,Gartenstraße,yes,asphalt,50,22895
0,Rosenhofweg,yes,asphalt,30,22977
0,Südtangente,no,asphalt,70,22983
0,Südostbahn,yes,asphalt,50,23066
0,Kriegsstraße,yes,asphalt,50,23077
0,Pfinz,,,70,23096
0,Ebertstraße,yes,asphalt,50,23116
0,Durlacher Allee,no,asphalt,180,23184
0,,no,asphalt,120,23211 
0,,no,,none,23288
0,Ostendorfplatz,yes,asphalt,30,23296
0,SÃ¼dtangente,yes,paving_stones,80,23298
0,Grötzinger Straße,yes,asphalt,50,23309
0,Willy-Brandt-Allee,yes,asphalt,60,23494
0,Scheidgraben,no,concrete,120,23545
0,,no,concrete,120,23564
0,,no,asphalt,100,23602
0,,no,concrete,120,23617
0,Kriegsstraße,yes,asphalt,50,23624
0,Honsellstraße,yes,asphalt,50,23673
0,Kriegsstraße,yes,asphalt,50,23712
0,Willy-Andreas-Allee,yes,asphalt,50,23714
0,BockstalstraÃŸe,no,asphalt,100,23730
0,Südtangente,,asphalt,50,23844
0,,no,asphalt,60,23917
0,Kriegsstraße,yes,paving_stones,50,23922
0,Ostring,yes,asphalt,30,23924
0,Neureuter Straße,yes,asphalt,50,24035
0,Zeppelinstraße,no,asphalt,50,24049
0,Eckenerstraße,yes,asphalt,50,24088
0,,no,asphalt,120,24098
0,Max-Liebermann-Straße,yes,asphalt,50,24131
0,Rheinbahn,yes,asphalt,60,24168
0,Güterumgehungsbahn Karlsruhe,no,asphalt,130,24181
0,Reinhold-Frank-Straße,yes,asphalt,50,24197
0,SÃ¼dtangente,no,asphalt,80,24225
0,Gustav-Heinemann-Allee,yes,asphalt,100,24252
0,Ostring,no,paving_stones,180,24286
0,Fallbrunnenweg,,asphalt,100,24402
0,,no,,none,24404
0,Durlacher Allee,yes,asphalt,60,24555
0,,no,asphalt,120,24587
0,,no,,none,24702
0,,no,paving_stones,none,24791
0,Heideweg,no,fine_gravel,120,24795
0,Badener Straße,no,asphalt,50,24903
0,Albtalbahn,yes,asphalt,50,24967
0,Lagerfläche Autohaus Graf Hardenberg,yes,asphalt,30,24984
0,SÃ¼dtangente,,asphalt,100,25005
0,SÃ¼dtangente,,asphalt,100,25107
0,Honsellstraße,yes,asphalt,50,25111
0,Wolfartsweierer Straße,yes,asphalt,50,25235
0,Rheintal-Nord-Leitung 4,yes,asphalt,100,25251
0,Badener Straße,yes,asphalt,50,25295
0,Güterbahnstraße,yes,asphalt,50,25306
0,BeunstraÃŸe,,asphalt,,25313
0,,no,asphalt,120,25344
0,Südtangente,yes,asphalt,80,25410
0,Neureuter Straße,,asphalt,50,25449
0,Lameystraße,yes,asphalt,50,25553
0,Elfmorgenbruch,no,asphalt,120,25593
0,Langenbruchweg,yes,asphalt,50,25621
0,Neureuter Straße,,asphalt,50,25624
0,Wolfartsweierer Straße,yes,asphalt,50,25660
0,Friedrichstaler Allee,,asphalt,70,25662
0,Reinhold-Frank-Straße,yes,asphalt,30,25734
0,Wolfartsweierer Straße,yes,asphalt,60,25877
0,Rüppurrer Tor,yes,asphalt,30,25909
0,Kanalweg,yes,asphalt,70,25989
0,,no,fine_gravel,120,26077
0,Sophienstraße,yes,asphalt,30,26132
0,,no,compacted,120,26181
0,Theodor-Heuss-Allee,no,asphalt,50,26195
0,Kriegsstraße,yes,asphalt,50,26225
0,Am Entenfang,yes,asphalt,30,26266
0,Wertstoffstation MaybachstraÃŸe 10b,no,,120,26286
0,,no,concrete,120,26368
0,Fritz-Erler-Straße,yes,paving_stones,50,26394
0,Rheinbrückenstraße,yes,asphalt,30,26407
0,,no,paving_stones,none,26434
0,Adenauerring,yes,asphalt,60,26447
0,,no,concrete,120,26458
0,,no,,none,26464
0,Pfinz,no,asphalt,100,26594
0,Rastatter Straße,yes,asphalt,30,26636
0,,no,asphalt,none,26638
0,,,asphalt,100,26639
0,Grötzinger Straße,yes,asphalt,50,26642
0,Klauprechtstraße,yes,paving_stones,50,26676
0,Neureuter Straße,,asphalt,50,26723
0,Karlsbader Straße,no,asphalt,100,26797
0,,no,grass,120,26825
0,Pulverhausstraße,yes,asphalt,50,26827
