Key;KRADanzahl;KRADweibl;PKW;PKWproTausendEW;KFZinsgesamt;KFZproTausendEW
8111;26263;3446;308411;485;357025;561
8115;25121;3435;258266;657;303606;773
8116;37117;5481;336119;628;405054;757
8117;18097;2692;167992;651;205385;796
8118;34689;4743;335581;615;402719;738
8119;29415;4281;268325;628;329021;770
8121;4761;642;68690;543;80487;636
8125;24774;3269;247672;719;302534;878
8126;9399;1172;84541;750;108819;966
8127;15113;1923;131825;670;172531;877
8128;10345;1407;90494;683;118760;897
8135;9193;1236;85339;643;104310;786
8136;23565;3294;207641;661;260169;828
8211;3186;422;35559;644;42427;769
8212;12583;1658;141949;455;167073;535
8215;29143;4045;284075;638;343142;771
8216;16931;2263;152711;660;186082;804
8221;4893;617;61550;381;71203;441
8222;11951;1526;154578;498;181362;584
8225;10143;1281;95787;667;120510;839
8226;32823;4503;355968;649;419768;766
8231;4602;591;63168;502;72084;572
8235;11514;1645;107024;672;133439;838
8236;15724;2229;134056;672;163970;822
8237;8920;1059;78309;662;99141;838
8311;8708;1193;94910;411;112705;487
8315;17211;2280;161256;612;204720;777
8316;11598;1566;103318;621;130973;787
8317;30001;3942;276275;641;348287;808
8325;10968;1387;95148;680;121044;865
8326;14120;1857;133544;628;164430;774
8327;10136;1222;90102;640;112292;798
8335;20829;3073;163183;570;202256;706
8336;15798;2088;138173;604;170879;747
8337;12111;1519;108890;637;138943;813
8415;19808;2849;182010;634;226139;788
8416;13708;2030;128003;560;155343;679
8417;13910;1944;129579;684;163091;861
8421;6028;854;67203;530;79885;630
8425;16028;2327;130410;662;169282;859
8426;16299;2226;133547;663;175620;873
8435;20852;3194;140217;645;179610;826
8436;24001;3371;183418;643;238926;837
8437;10966;1535;87970;672;115341;881
9161;8683;1016;97429;709;112030;815
9162;66799;9020;732045;493;853850;575
9163;3683;512;35450;558;42677;672
9171;9314;1247;72118;647;92439;829
9172;8403;1009;66163;625;83786;791
9173;10604;1423;81556;638;105536;825
9174;13114;1869;94258;609;120595;779
9175;10395;1382;86445;602;108427;755
9176;12971;1508;85829;646;114306;860
9177;11880;1539;90313;654;119151;862
9178;14148;1894;110323;613;142257;790
9179;15138;2265;124513;568;152933;697
9180;7723;1018;52791;597;69364;784
9181;11878;1687;82970;690;107884;897
9182;8960;1170;66809;668;86148;861
9183;9871;1289;75643;653;100573;868
9184;23232;3277;240563;686;289874;827
9185;9380;1291;66293;681;88755;912
9186;12715;1726;85058;663;113402;884
9187;22581;3078;173318;663;225173;862
9188;10583;1437;88503;648;108121;791
9189;15109;1914;117902;665;155337;876
9190;12406;1695;89347;659;118543;875
9261;3972;538;37995;518;44879;611
9262;3257;420;28886;547;35666;675
9263;2278;294;27804;582;33401;699
9271;10465;1445;79297;664;106663;893
9272;9406;1143;53384;681;77950;995
9273;11060;1433;81705;664;108627;883
9274;14810;1881;110107;689;148032;926
9275;19167;2314;129826;674;177745;923
9276;7485;873;50535;653;71356;922
9277;11866;1397;83737;689;119288;982
9278;9499;1156;69587;688;97613;965
9279;8907;1130;70342;728;93605;968
9361;2163;284;25300;599;29754;705
9362;7317;1066;85627;559;105679;690
9363;2499;374;26189;613;31483;737
9371;9443;1174;70777;687;95207;924
9372;14075;1675;89687;701;129866;1015
9373;12847;1643;90148;670;123322;916
9374;9536;1325;65551;694;90015;953
9375;18174;2418;127778;658;167624;864
9376;15633;1994;101509;686;138567;937
9377;7328;953;48977;680;68121;946
9461;4542;667;41168;532;50886;658
9462;3395;503;39934;534;47711;638
9463;2514;325;25122;612;29761;725
9464;2233;318;25725;561;30646;669
9471;13789;1959;102337;695;135149;918
9472;10123;1464;72019;695;99152;956
9473;7045;981;59104;681;75058;865
9474;10451;1453;78714;677;103099;887
9475;7332;1011;64112;676;83408;880
9476;5820;682;45606;683;59569;893
9477;6127;889;49976;698;65640;917
9478;5900;789;45024;674;59752;895
9479;5782;788;47424;653;60204;829
9561;2505;428;25619;613;30953;741
9562;5300;758;56032;498;65234;580
9563;6129;851;64246;500;75707;589
9564;22801;3158;248538;479;296108;571
9565;2839;419;26411;644;31392;766
9571;16764;2387;126828;687;175889;953
9572;10151;1456;92549;674;113121;824
9573;9436;1402;77713;659;95537;811
9574;14088;2079;111830;655;141107;826
9575;8640;1195;68208;675;94298;934
9576;12065;1714;87322;689;115670;913
9577;8235;1149;62941;664;85989;908
9661;3549;425;42860;604;50984;718
9662;2102;284;29202;547;33848;634
9663;6137;836;65001;508;78746;616
9671;12464;1616;118876;682;146211;839
9672;8255;1113;71189;690;93548;906
9673;6777;960;55122;692;73285;920
9674;7335;994;58893;698;78537;931
9675;7512;1048;62273;683;82102;901
9676;8634;1154;86895;675;107340;834
9677;10799;1415;86049;682;112535;892
9678;9908;1434;79033;685;101264;877
9679;13144;1818;107102;660;135375;834
9761;12567;1641;139358;470;162921;549
9762;2582;372;25482;574;29875;673
9763;4007;538;40077;580;47977;694
9764;2364;318;27081;614;32200;730
9771;13208;1793;88078;654;117714;874
9772;21198;2909;168234;664;214210;845
9773;8347;1089;66121;685;88407;916
9774;10343;1491;85301;672;112091;882
9775;13397;1953;111254;635;138283;789
9776;8501;1201;52921;646;69778;851
9777;13339;1863;93138;660;129036;914
9778;13941;1853;100174;689;136796;941
9779;11735;1470;92797;694;125291;937
9780;15188;2087;102701;658;137916;884
11000;110712;15382;1234645;336;1474487;402
12051;2423;276;34783;482;40951;567
12052;3290;317;49001;492;57972;582
12053;2020;206;28439;492;34552;598
12054;5739;759;76867;426;89467;496
12060;11673;1538;107682;581;133143;719
12061;10605;1472;105550;618;132788;777
12062;6142;718;63568;624;82023;806
12063;9964;1478;94847;582;117691;722
12064;12966;1850;118733;607;149498;764
12065;13855;2003;124842;586;154946;728
12066;5958;627;65703;601;81545;746
12067;9959;1310;108044;604;133927;749
12068;5690;755;58893;596;75933;768
12069;13168;1744;130045;600;162939;752
12070;3737;450;45955;603;59717;784
12071;6869;770;70989;624;89973;791
12072;11487;1635;104826;617;133673;786
12073;6660;884;68347;575;87090;732
4011;17356;2200;246042;434;284083;501
4012;3199;377;51793;456;59554;524
2000;55999;7565;805780;436;943917;511
6411;5601;689;73160;458;84030;526
6412;22625;2952;342431;449;394066;516
6413;3940;507;57906;444;66442;510
6414;11299;1492;173522;623;200947;722
6431;18151;2431;175663;650;212654;787
6432;19539;2803;190415;639;228388;767
6433;14832;1965;157187;570;186328;676
6434;12665;1660;162920;688;188941;798
6435;24213;3118;261411;622;313903;746
6436;12502;1576;175147;734;203788;854
6437;6298;855;62857;650;77927;806
6438;18527;2428;217586;612;252241;709
6439;13249;1826;122835;656;148544;794
6440;18095;2478;193975;629;234201;760
6531;13844;1963;156152;577;187898;694
6532;15872;1969;164711;650;198745;785
6533;11452;1574;112984;657;138233;804
6534;14198;1697;144035;583;176860;716
6535;8054;975;72608;687;95645;905
6611;6265;846;91217;451;106069;525
6631;17095;2077;143848;645;184911;829
6632;8973;1011;79593;659;102279;847
6633;15744;2174;151541;640;184968;781
6634;13994;1797;119843;667;151874;845
6635;11685;1534;105512;675;135515;866
6636;7287;863;63148;628;80663;802
13003;5117;631;86269;412;99224;474
13004;2239;252;44767;468;51717;541
13071;13412;1590;145959;566;184838;716
13072;11128;1294;127594;591;161436;748
13073;10234;1194;124801;555;154254;686
13074;8609;1092;91362;581;114668;729
13075;11756;1330;126539;537;157240;667
13076;12033;1488;129311;611;165131;780
3101;10813;1392;142933;573;164036;658
3102;4391;476;56426;541;65026;624
3103;5929;621;138120;1111;149009;1198
3151;12555;1601;109243;619;135373;767
3153;8055;1106;80792;593;97053;712
3154;6123;797;56367;617;68236;747
3155;9484;1295;88331;668;110243;833
3157;8772;1193;85701;636;102572;761
3158;8191;1065;75648;632;90537;757
3159;17401;2411;185198;568;225386;691
3241;51375;6627;592055;512;700883;606
3251;13442;1805;142595;657;179924;829
3252;8794;1158;93108;627;111370;750
3254;15133;2026;162541;589;193606;702
