,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,incident_ID
0,4.78,2.22,84.0,0.1,,230.0,10.18,,1015.15,3.5,,22621
0,6.98,1.62,69.75,0.02,,187.5,18.15,,1007.52,30.0,,22895
0,5.08,2.22,82.0,0.05,,247.5,19.18,,1016.58,12.5,,22977
0,4.92,2.97,87.25,0.3,,180.0,17.92,,1015.28,0.0,,22983
0,4.42,1.92,86.0,0.0,,197.5,16.65,,1016.25,0.0,,23066
0,4.78,2.22,84.0,0.1,,230.0,10.18,,1015.15,3.5,,23077
0,5.55,2.25,80.75,0.0,,232.5,19.7,,1015.63,0.25,,23096
0,5.08,3.44,89.8,0.04,,210.0,15.32,,1019.34,0.4,,23116
0,2.52,1.16,91.0,0.02,,224.0,16.4,,1021.48,0.0,,23184
0,3.58,1.67,88.0,0.02,,157.5,17.02,,1013.95,0.0,,23211
0,4.84,1.54,80.0,0.08,,212.0,14.12,,1021.0,28.8,,23288
0,3.3,2.54,95.0,0.06,,218.0,11.52,,1019.66,0.0,,23296
0,3.65,1.78,88.25,0.02,,197.5,15.85,,1014.65,0.0,,23298
0,4.75,2.5,86.75,0.1,,230.0,17.25,,1015.9,0.0,,23309
0,3.3,2.54,95.0,0.06,,218.0,11.52,,1019.66,0.0,,23494
0,4.68,2.75,87.5,0.05,,187.5,18.45,,1016.55,0.0,,23545
0,6.18,4.08,87.0,0.06,,184.0,17.2,,1017.7,0.6,,23564
0,2.64,1.52,92.4,0.02,,170.0,12.68,,1022.14,21.4,,23602
0,1.9,0.23,88.75,0.08,,165.0,11.18,,1009.98,0.0,,23617
0,6.05,2.25,77.5,0.45,,172.5,12.35,,1014.1,28.25,,23624
0,3.28,2.44,94.6,0.0,,216.0,10.72,,1019.68,0.0,,23673
0,5.56,3.44,87.0,0.02,,272.0,15.76,,1018.74,0.0,,23712
0,1.98,0.28,88.75,0.0,,160.0,11.28,,1009.32,0.0,,23714
0,3.28,2.02,91.6,0.08,,190.0,14.7,,1020.08,,,23730
0,4.75,2.97,88.25,0.0,,185.0,17.45,,1015.88,0.0,,23844
0,6.02,1.9,75.5,0.0,,187.5,13.68,,1008.55,37.25,,23917
0,3.78,2.1,89.0,0.2,,137.5,7.62,,1015.0,0.0,,23922
0,5.2,2.7,86.0,0.15,,235.0,18.82,,1015.7,0.0,,23924
0,1.98,0.28,88.75,0.0,,160.0,11.28,,1009.32,0.0,,24035
0,4.75,2.5,86.75,0.1,,230.0,17.25,,1015.9,0.0,,24049
0,5.62,2.2,79.0,0.08,,252.5,17.58,,1015.9,13.0,,24088
0,5.48,2.62,83.75,0.0,,235.0,19.18,,1015.55,4.25,,24098
0,5.05,2.45,84.0,0.1,,165.0,12.42,,1014.62,11.25,,24131
0,5.85,2.3,78.25,0.02,,252.5,12.35,,1015.47,5.5,,24168
0,5.64,4.36,91.6,0.58,,230.0,17.22,,1017.92,1.8,,24181
0,5.64,4.36,91.6,0.58,,230.0,17.22,,1017.92,1.8,,24197
0,4.92,2.97,87.25,0.3,,180.0,17.92,,1015.28,0.0,,24225
0,3.58,1.67,88.0,0.02,,157.5,17.02,,1013.95,0.0,,24252
0,6.7,2.45,75.25,0.12,,137.5,18.27,,1008.2,29.5,,24286
0,9.35,4.72,73.25,0.52,,277.5,27.62,,1013.88,0.0,,24402
0,2.58,0.15,84.5,0.02,,137.5,7.2,,1013.3,,,24404
0,9.12,2.78,66.5,0.02,,147.5,19.9,,1005.5,30.0,,24555
0,6.88,0.32,65.5,0.02,,167.5,16.92,,1014.42,21.0,,24587
0,4.1,-0.05,74.5,0.0,,205.0,13.52,,1014.9,0.0,,24702
0,8.25,3.0,70.5,0.15,,137.5,18.35,,1007.25,30.0,,24791
0,4.1,0.0,74.75,0.0,,200.0,11.97,,1014.62,0.0,,24795
0,4.7,0.0,71.75,0.0,,147.5,13.68,,1014.05,0.0,,24903
0,6.45,3.45,81.25,0.0,,180.0,20.98,,1005.92,0.0,,24967
0,6.7,2.45,75.25,0.12,,137.5,18.27,,1008.2,29.5,,24984
0,2.65,0.75,87.25,0.0,,180.0,16.02,,1015.75,0.0,,25005
0,5.48,3.2,85.5,0.75,,120.0,21.25,,1017.1,0.0,,25107
0,2.65,0.75,87.25,0.0,,180.0,16.02,,1015.75,0.0,,25111
0,3.32,0.37,81.25,0.1,,185.0,16.0,,1015.82,,,25235
0,2.82,0.5,85.0,0.0,,187.5,15.57,,1015.7,0.0,,25251
0,6.32,3.0,80.0,0.28,,122.5,23.13,,1015.95,0.0,,25295
0,8.02,3.75,74.75,0.0,,187.5,22.65,,1008.38,0.0,,25306
0,6.38,0.18,66.25,0.0,,155.0,11.45,,1013.6,0.0,,25313
0,7.05,0.18,64.25,0.0,,165.0,14.95,,1014.1,13.0,,25344
0,5.78,3.28,84.25,0.82,,127.5,23.78,,1017.48,0.0,,25410
0,7.3,2.77,73.5,0.0,,180.0,22.6,,1010.05,,,25449
0,5.94,1.4,73.4,0.02,,150.0,14.84,,1012.34,0.0,,25553
0,2.15,-0.38,83.5,0.0,,205.0,9.72,,1015.48,10.0,,25593
0,6.52,1.5,71.4,0.0,,92.0,16.86,,1012.22,0.0,,25621
0,8.4,3.5,71.5,0.0,,187.5,24.85,,1007.88,0.0,,25624
0,5.98,2.33,78.5,0.0,,60.0,8.17,,1015.62,0.0,,25660
0,3.85,1.82,86.75,0.0,,125.0,10.6,,1016.7,11.75,,25662
0,9.33,2.42,63.25,0.0,,167.5,11.05,,1015.2,15.0,,25734
0,8.98,1.96,63.2,0.0,,210.0,18.6,,1010.82,16.2,,25877
0,8.86,1.94,63.4,0.12,,150.0,18.36,,1011.08,11.4,,25909
0,7.43,2.5,72.0,0.0,,155.0,11.38,,1015.3,3.5,,25989
0,2.15,-0.38,83.5,0.0,,205.0,9.72,,1015.48,10.0,,26077
0,8.62,2.75,68.0,0.12,,70.0,12.25,,1015.3,15.0,,26132
0,8.28,0.28,58.2,0.0,,140.0,16.14,,1018.02,26.6,,26181
0,8.26,3.12,71.0,0.02,,168.0,19.36,,1011.92,15.2,,26195
0,8.5,-0.1,57.5,0.02,,225.0,13.5,,1015.25,23.25,,26225
0,3.58,0.8,82.6,0.0,,140.0,11.8,,1018.6,12.0,,26266
0,1.5,0.05,90.0,0.1,,135.0,8.62,,1017.32,12.5,,26286
0,8.8,2.58,68.25,0.3,,132.5,14.68,,1014.2,22.25,,26368
0,7.82,1.15,64.0,0.0,,222.5,15.27,,1015.42,30.0,,26394
0,9.15,3.2,69.5,0.22,,117.5,13.02,,1013.78,29.0,,26407
0,7.9,0.92,63.4,0.12,,156.0,17.14,,1017.64,28.6,,26434
0,8.78,2.52,66.4,0.2,,146.0,19.32,,1011.28,14.0,,26447
0,5.32,2.9,85.0,0.02,,122.0,17.08,,1013.24,1.0,,26458
0,9.15,3.2,69.5,0.22,,117.5,13.02,,1013.78,29.0,,26464
0,6.92,3.22,78.5,0.0,,115.0,10.28,,1014.45,0.0,,26594
0,6.68,2.72,76.5,0.08,,130.0,22.6,,1017.45,0.5,,26636
0,4.35,0.92,79.0,0.0,,150.0,8.55,,1017.65,0.0,,26638
0,6.32,1.65,72.5,0.0,,127.5,16.1,,1016.8,0.0,,26639
0,8.5,-0.1,57.5,0.02,,225.0,13.5,,1015.25,23.25,,26642
0,5.98,2.33,78.5,0.0,,60.0,8.17,,1015.62,0.0,,26676
0,7.9,0.92,63.4,0.12,,156.0,17.14,,1017.64,28.6,,26723
0,7.54,1.02,66.2,0.22,,168.0,18.14,,1017.46,21.6,,26797
0,9.43,2.72,64.25,0.0,,82.5,10.38,,1015.45,18.5,,26825
0,8.78,2.52,66.4,0.2,,146.0,19.32,,1011.28,14.0,,26827
0,8.28,0.28,58.2,0.0,,140.0,16.14,,1018.02,26.6,,26873
0,7.02,1.45,69.25,0.1,,115.0,13.92,,1015.5,15.0,,26924
0,13.1,5.57,62.25,0.1,,187.5,13.98,,1012.45,15.0,,27072
0,9.45,6.88,84.25,0.0,,145.0,10.38,,1013.4,21.75,,27090
0,3.35,0.92,84.25,0.05,,140.0,10.42,,1016.92,19.0,,27097
0,14.58,3.52,48.75,0.0,,182.5,14.75,,1015.15,52.5,,27135
0,9.1,4.58,75.25,0.1,,185.0,11.52,,1017.1,26.75,,27256
0,6.38,3.35,82.25,0.08,,125.0,9.82,,1014.65,0.0,,27297
0,6.92,3.22,78.5,0.0,,115.0,10.28,,1014.45,0.0,,27329
0,12.18,5.1,63.75,0.0,,175.0,12.35,,1017.05,31.25,,27333
0,7.1,5.83,91.75,0.4,,232.5,7.38,,1012.98,11.5,,27385
0,12.46,4.28,58.8,0.0,,190.0,10.66,,1013.42,16.2,,27510
0,9.82,5.38,74.75,0.3,,85.0,13.92,,1010.95,6.5,,27512
0,12.15,6.1,67.5,0.0,,185.0,13.4,,1010.03,1.0,,27520
0,14.02,4.18,53.4,0.0,,180.0,12.98,,1013.6,23.2,,27533
0,13.85,4.05,53.75,0.02,,227.5,16.85,,1011.9,27.0,,27592
0,7.98,5.7,85.75,0.8,,65.0,12.68,,1010.68,0.0,,27654
0,13.96,3.86,52.4,0.0,,160.0,14.98,,1014.04,28.6,,27736
0,9.88,7.02,83.0,0.05,,102.5,8.93,,1010.6,0.0,,27738
0,13.44,4.32,55.4,0.0,,188.0,13.6,,1013.42,27.4,,27748
0,14.02,4.18,53.4,0.0,,180.0,12.98,,1013.6,23.2,,27756
0,14.08,3.42,50.0,0.0,,177.5,13.68,,1014.92,55.75,,27762
0,7.1,5.83,91.75,0.4,,232.5,7.38,,1012.98,11.5,,27772
0,12.58,3.24,55.6,0.0,,162.0,14.6,,1015.22,24.2,,27846
0,9.92,4.72,71.8,0.1,,272.0,11.12,,1015.88,30.2,,27863
0,7.98,5.7,85.75,0.8,,65.0,12.68,,1010.68,0.0,,27864
0,8.78,4.42,75.4,0.04,,268.0,9.72,,1015.78,34.6,,27927
0,12.15,6.1,67.5,0.0,,185.0,13.4,,1010.03,1.0,,27949
0,11.42,6.35,72.25,0.0,,257.5,10.28,,1013.42,29.75,,28006
0,13.1,5.57,62.25,0.1,,187.5,13.98,,1012.45,15.0,,28043
0,11.1,5.7,71.0,0.43,,192.5,18.55,,1012.5,15.25,,28062
0,7.28,5.72,90.0,0.0,,182.5,7.45,,1013.85,,,28065
0,13.18,5.4,59.5,0.0,,217.5,15.78,,1013.68,21.25,,28068
0,13.85,4.38,54.0,0.0,,207.5,22.33,,1014.95,30.0,,28171
0,13.15,5.18,60.25,0.02,,82.5,13.35,,1012.3,38.25,,28198
0,14.58,3.52,48.75,0.0,,182.5,14.75,,1015.15,52.5,,28210
0,13.9,4.4,56.5,0.05,,167.5,18.52,,1011.85,15.25,,28240
0,12.52,5.4,64.0,0.0,,257.5,12.05,,1012.82,34.5,,28309
0,10.02,6.05,77.75,0.0,,137.5,9.62,,1013.18,0.0,,28320
0,9.45,6.88,84.25,0.0,,145.0,10.38,,1013.4,21.75,,28366
0,9.45,6.88,84.25,0.0,,145.0,10.38,,1013.4,21.75,,28392
0,13.85,4.38,54.0,0.0,,207.5,22.33,,1014.95,30.0,,28407
0,13.44,4.32,55.4,0.0,,188.0,13.6,,1013.42,27.4,,28411
