temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,incident_ID
2.12,-1.0,80.4,0.02,2.0,224.0,16.9,34.0,1011.54,0.0,6.0,442726
3.28,2.25,93.0,0.08,2.5,225.0,14.48,28.75,1019.45,0.0,6.25,443067
3.42,2.3,92.5,0.1,2.5,225.0,15.1,30.0,1019.42,5.0,6.25,443112
1.58,-1.26,81.6,0.0,2.0,214.0,13.46,25.6,1011.0,0.0,4.6,443301
1.6,-1.18,82.0,0.0,2.0,222.0,13.32,27.2,1010.68,0.0,4.8,443302
2.5,0.52,87.2,0.02,0.0,232.0,15.34,32.2,1016.12,2.4,7.8,443418
4.08,0.52,78.4,0.26,0.0,238.0,16.98,34.0,1014.26,7.0,6.4,443419
4.46,0.04,74.0,0.1,0.0,246.0,18.2,36.0,1013.72,8.2,5.2,443420
4.28,2.68,89.75,0.1,0.0,222.5,14.5,30.0,1015.18,0.0,6.75,443576
2.3,1.72,96.0,0.23,2.5,227.5,12.53,22.0,1022.03,0.0,5.5,443676
2.17,1.35,94.5,0.08,2.5,240.0,13.4,25.5,1022.55,0.0,7.0,443677
0.5,0.25,98.25,0.0,2.5,232.5,7.0,13.75,1024.97,14.5,5.75,443678
1.12,-0.78,87.25,0.3,2.5,285.0,8.82,18.75,1020.12,0.0,8.5,443784
2.88,0.8,86.6,0.04,0.0,228.0,15.7,30.2,1015.68,10.6,5.6,443861
3.86,1.0,82.6,0.16,0.0,234.0,17.14,35.2,1014.84,11.6,5.4,443862
2.16,0.28,87.8,0.0,0.0,230.0,13.48,26.8,1017.1,0.0,4.0,443915
2.3,-0.05,84.5,0.15,0.0,260.0,12.25,26.5,1016.6,0.0,6.25,443944
4.1,2.08,87.0,0.32,0.0,232.5,12.25,30.75,1010.7,0.0,5.75,444010
4.05,2.15,88.0,0.55,0.0,217.5,12.52,25.75,1010.68,15.0,6.25,444011
-0.45,-0.7,98.25,0.02,2.5,225.0,6.82,13.5,1024.47,0.0,5.5,444128
2.15,1.33,94.25,0.12,2.5,240.0,13.15,26.25,1022.42,0.0,7.0,444129
2.88,1.02,87.75,0.22,2.5,247.5,10.52,23.0,1023.0,9.75,5.0,444176
0.72,-1.78,83.75,0.0,2.5,220.0,8.65,17.25,1019.98,0.0,6.5,444220
2.26,0.48,88.4,0.1,0.0,228.0,14.92,32.8,1016.36,0.0,5.6,444437
3.88,-0.44,74.0,0.02,0.0,248.0,17.94,38.0,1013.32,0.0,6.4,444438
1.9,-2.6,73.2,0.2,6.0,244.0,13.18,27.4,1011.74,0.0,5.2,444627
1.5,-2.4,76.0,0.14,8.0,238.0,12.26,25.0,1012.08,0.0,5.6,444630
3.82,2.47,91.0,0.12,0.0,220.0,12.88,27.5,1014.75,0.0,6.75,444662
4.8,2.75,87.75,0.3,0.0,220.0,16.02,32.25,1015.78,10.75,7.0,444665
3.82,2.47,91.0,0.12,0.0,220.0,12.88,27.5,1014.75,0.0,6.75,444720
4.28,2.68,89.75,0.1,0.0,222.5,14.5,30.0,1015.18,0.0,6.75,444721
5.05,2.48,85.25,0.28,0.0,225.0,16.75,32.5,1016.05,15.0,7.0,444722
1.48,0.95,96.25,0.2,2.5,240.0,10.0,19.75,1024.18,1.5,5.5,444796
-0.45,-0.7,98.25,0.02,2.5,225.0,6.82,13.5,1024.47,0.0,5.5,444797
-0.45,-0.7,98.25,0.02,2.5,225.0,6.82,13.5,1024.47,0.0,5.5,444831
2.47,0.08,84.25,0.32,0.0,252.5,10.97,25.25,1016.82,0.0,5.0,444880
0.45,-1.15,89.0,0.0,2.5,225.0,7.72,14.5,1018.87,0.0,6.25,444916
2.05,0.5,89.5,0.1,0.0,222.5,10.25,23.75,1012.62,0.0,6.25,444951
1.1,-0.98,86.0,0.02,2.5,307.5,8.12,18.5,1020.55,0.5,7.5,445136
0.62,-1.42,86.25,0.05,2.5,277.5,8.0,17.75,1021.82,0.0,7.25,445137
0.62,-1.42,86.25,0.05,2.5,277.5,8.0,17.75,1021.82,0.0,7.25,445138
0.85,-1.5,84.25,0.02,2.5,292.5,8.2,23.75,1021.05,0.0,8.25,445139
1.9,-2.6,73.2,0.2,6.0,244.0,13.18,27.4,1011.74,0.0,5.2,445239
2.8,-1.82,72.4,0.04,4.0,210.0,16.04,32.8,1011.02,0.0,5.4,445242
3.28,-0.42,76.8,0.0,2.0,240.0,18.58,41.6,1013.18,0.0,7.8,445409
3.78,-0.36,74.4,0.02,0.0,248.0,18.3,38.0,1013.28,0.0,5.4,445410
2.16,0.28,87.8,0.0,0.0,230.0,13.48,26.8,1017.1,0.0,4.0,445411
3.78,-0.36,74.4,0.02,0.0,248.0,18.3,38.0,1013.28,0.0,5.4,445412
3.78,-0.36,74.4,0.02,0.0,248.0,18.3,38.0,1013.28,0.0,5.4,445413
5.15,-1.82,65.5,0.0,0.0,195.0,11.98,23.5,1027.8,5.25,3.25,445516
4.53,-0.35,76.5,0.0,0.0,202.5,10.08,17.25,1029.0,15.0,3.25,445561
8.18,-0.53,60.5,0.15,0.0,225.0,11.7,23.25,1017.58,43.0,3.5,445765
4.38,0.83,80.75,0.6,0.0,145.0,12.88,24.75,1015.78,0.0,5.5,445909
10.98,0.63,52.25,0.0,0.0,220.0,11.5,24.0,1026.27,29.75,3.25,445916
8.2,-2.22,50.75,0.0,0.0,192.5,13.5,29.75,1026.1,0.0,4.5,445987
10.8,-2.17,50.25,0.02,0.0,217.5,11.52,22.5,1017.38,30.25,4.0,446068
